PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1628995,2018-19,00,1610612752,NYK,19.0,75,57,2158,338,914,0.37,125,364,0.343,162,226,0.717,61,274,335,82,43,24,114,175,963
1628995,2019-20,00,1610612752,NYK,20.0,65,4,1166,144,401,0.359,65,199,0.327,66,101,0.653,28,156,184,61,23,28,45,106,419
1628995,2020-21,00,1610612752,NYK,21.0,42,0,464,56,143,0.392,35,89,0.393,16,20,0.8,10,51,61,19,12,6,17,37,163
1628995,2021-22,00,1610612752,NYK,22.0,13,0,111,15,40,0.375,10,28,0.357,7,10,0.7,8,14,22,3,2,1,5,5,47
1628995,2021-22,00,1610612737,ATL,22.0,17,0,112,16,45,0.356,5,26,0.192,9,12,0.75,6,16,22,7,2,1,2,14,46
1628995,2021-22,00,0,TOT,22.0,30,0,222,31,85,0.365,15,54,0.278,16,22,0.727,14,30,44,10,4,2,7,19,93
1628995,2022-23,00,1610612765,DET,23.0,42,1,593,84,179,0.469,43,116,0.371,26,33,0.788,20,88,108,15,14,12,32,74,237
1628995,2022-23,00,1610612757,POR,23.0,21,4,359,68,153,0.444,22,70,0.314,20,27,0.741,14,55,69,18,10,0,18,21,178
1628995,2022-23,00,0,TOT,23.0,63,5,952,152,332,0.458,65,186,0.349,46,60,0.767,34,143,177,33,24,12,50,95,415
1628995,2023-24,00,1610612765,DET,24.0,31,11,560,86,186,0.462,31,94,0.33,20,22,0.909,18,57,75,23,13,7,22,50,223
1628995,2024-25,00,1610612744,GSW,25.0,14,0,84,18,36,0.5,4,15,0.267,6,8,0.75,7,10,17,5,2,4,4,6,46
